Z,N,MM,,,
0,1,1.008664917,,,
1,1,1.007825032,,,
1,2,2.014101778,,,
1,3,3.016049278,,,
1,4,4.0264311,,,
1,5,5.03531196,,,
1,6,6.0449627,,,
1,7,7.052711,,,
2,3,3.01602932,,,
2,4,4.002603254,,,
2,5,5.01205721,,,
2,6,6.018885892,,,
2,7,7.027990781,,,
2,8,8.033934391,,,
2,9,9.0439465,,,
2,10,10.0527911,,,
3,3,3.030821,,,
3,4,4.0271923,,,
3,5,5.01253854,,,
3,6,6.015122887,,,
3,7,7.016003437,,,
3,8,8.022486247,,,
3,9,9.026790192,,,
3,10,10.03548314,,,
3,11,11.04372359,,,
3,12,12.05251716,,,
3,13,13.0626338,,,
4,5,5.039922,,,
4,6,6.019726458,,,
4,7,7.016928718,,,
4,8,8.005305102,,,
4,9,9.012183066,,,
4,10,10.0135347,,,
4,11,11.02166108,,,
4,12,12.02692212,,,
4,13,13.03613511,,,
4,14,14.0428914,,,
4,15,15.0534243,,,
4,16,16.0616718,,,
5,6,6.050822,,,
5,7,7.02971227,,,
5,8,8.024607311,,,
5,9,9.01332966,,,
5,10,10.01293695,,,
5,11,11.00930536,,,
5,12,12.01435271,,,
5,13,13.01778021,,,
5,14,14.02540423,,,
5,15,15.03108823,,,
5,16,16.03984226,,,
5,17,17.0469918,,,
5,18,18.0556618,,,
5,19,19.0631043,,,
5,20,20.0720775,,,
5,21,21.0812997,,,
6,8,8.0376432,,,
6,9,9.031037223,,,
6,10,10.01685331,,,
6,11,11.01143361,,,
6,12,12,,,
6,13,13.00335484,,,
6,14,14.00324199,,,
6,15,15.01059927,,,
6,16,16.01470134,,,
6,17,17.02257719,,,
6,18,18.02675132,,,
6,19,19.0348011,,,
6,20,20.0403226,,,
6,21,21.0490043,,,
6,22,22.0575326,,,
6,23,23.068911,,,
7,10,10.0416543,,,
7,11,11.0260915,,,
7,12,12.01861321,,,
7,13,13.00573861,,,
7,14,14.003074,,,
7,15,15.0001089,,,
7,16,16.00610193,,,
7,17,17.00844916,,,
7,18,18.0140782,,,
7,19,19.01702218,,,
7,20,20.0233666,,,
7,21,21.027111,,,
7,22,22.0343921,,,
7,23,23.0411432,,,
7,24,24.0503943,,,
7,25,25.0601054,,,
8,12,12.03426226,,,
8,13,13.0248151,,,
8,14,14.00859636,,,
8,15,15.00306563,,,
8,16,15.99491462,,,
8,17,16.99913176,,,
8,18,17.99915961,,,
8,19,19.00357803,,,
8,20,20.00407536,,,
8,21,21.00865513,,,
8,22,22.00996661,,,
8,23,23.01569697,,,
8,24,24.0198612,,,
8,25,25.0293612,,,
8,26,26.0372917,,,
8,27,27.0477254,,,
8,28,28.0559175,,,
9,14,14.03431544,,,
9,15,15.01804367,,,
9,16,16.01146579,,,
9,17,17.00209524,,,
9,18,18.00093734,,,
9,19,18.99840316,,,
9,20,19.99998125,,,
9,21,20.99994892,,,
9,22,22.00299913,,,
9,23,23.00355754,,,
9,24,24.00811578,,,
9,25,25.01219981,,,
9,26,26.02003883,,,
9,27,27.026442,,,
9,28,28.0353421,,,
9,29,29.0425454,,,
9,30,30.0516564,,,
9,31,31.0597156,,,
10,16,16.02575022,,,
10,17,17.01771396,,,
10,18,18.0057087,,,
10,19,19.00188091,,,
10,20,19.99244018,,,
10,21,20.99384669,,,
10,22,21.99138511,,,
10,23,22.99446691,,,
10,24,23.99361066,,,
10,25,24.99778948,,,
10,26,26.0005152,,,
10,27,27.0075537,,,
10,28,28.012121,,,
10,29,29.0197511,,,
10,30,30.024733,,,
10,31,31.033117,,,
10,32,32.0397254,,,
10,33,33.0493864,,,
10,34,34.0567355,,,
11,18,18.0268812,,,
11,19,19.01388011,,,
11,20,20.00735441,,,
11,21,20.99765469,,,
11,22,21.99443741,,,
11,23,22.98976928,,,
11,24,23.99096295,,,
11,25,24.98995401,,,
11,26,25.99263464,,,
11,27,26.99407654,,,
11,28,27.99893911,,,
11,29,29.00287718,,,
11,30,30.00909795,,,
11,31,31.01316325,,,
11,32,32.0201913,,,
11,33,33.0257364,,,
11,34,34.0335954,,,
11,35,35.0406263,,,
11,36,36.0492964,,,
11,37,37.0570565,,,
12,19,19.03416954,,,
12,20,20.01885029,,,
12,21,21.01171618,,,
12,22,21.99957065,,,
12,23,22.99412422,,,
12,24,23.9850417,,,
12,25,24.98583698,,,
12,26,25.98259297,,,
12,27,26.98434062,,,
12,28,27.98387672,,,
12,29,28.98861712,,,
12,30,29.99046294,,,
12,31,30.99664803,,,
12,32,31.99911023,,,
12,33,33.00532713,,,
12,34,34.00893531,,,
12,35,35.0167919,,,
12,36,36.0218849,,,
12,37,37.0303754,,,
12,38,38.0365854,,,
12,39,39.0453855,,,
12,40,40.0521864,,,
13,21,21.0289743,,,
